iter	Passed	Remaining
0	138	137985
1	139	69412
2	139	46523
3	140	35089
4	142	28397
5	145	24026
6	147	20930
7	148	18431
8	149	16480
9	150	14910
10	151	13622
11	152	12549
12	153	11654
13	157	11095
14	158	10424
15	160	9897
16	162	9381
17	163	8912
18	165	8530
19	166	8161
20	169	7888
21	170	7565
22	171	7272
23	172	7013
24	173	6774
25	177	6663
26	178	6444
27	180	6248
28	185	6195
29	185	6012
30	186	5837
31	187	5679
32	189	5546
33	190	5408
34	191	5280
35	192	5151
36	193	5031
37	194	4918
38	195	4814
39	196	4725
40	198	4640
41	200	4563
42	201	4478
43	202	4398
44	203	4320
45	204	4243
46	205	4166
47	206	4094
48	208	4040
49	209	3971
50	209	3905
51	210	3841
52	211	3780
53	212	3720
54	213	3662
55	214	3607
56	215	3558
57	215	3507
58	216	3460
59	217	3413
60	218	3369
61	219	3325
62	220	3282
63	221	3244
64	223	3212
65	224	3177
66	225	3137
67	226	3099
68	226	3060
69	227	3023
70	228	2987
71	229	2954
72	230	2922
73	230	2889
74	231	2857
75	232	2827
76	233	2803
77	235	2778
78	235	2750
79	237	2727
80	238	2708
81	239	2684
82	240	2653
83	240	2627
84	241	2601
85	242	2576
86	243	2551
87	245	2541
88	246	2520
89	247	2499
90	248	2478
91	249	2459
92	250	2441
93	251	2424
94	252	2405
95	253	2386
96	254	2365
97	254	2345
98	255	2326
99	256	2307
100	257	2288
101	257	2270
102	259	2263
103	260	2247
104	261	2230
105	262	2212
106	263	2196
107	263	2180
108	265	2166
109	266	2153
110	267	2142
111	268	2128
112	269	2113
113	270	2099
114	270	2084
115	271	2069
116	272	2054
117	272	2040
118	274	2029
119	275	2016
120	276	2005
121	276	1992
122	277	1979
123	278	1967
124	279	1957
125	280	1945
126	281	1934
127	282	1922
128	283	1912
129	284	1901
130	284	1890
131	285	1879
132	286	1868
133	287	1857
134	288	1849
135	289	1839
136	290	1830
137	291	1819
138	292	1810
139	293	1800
140	293	1790
141	294	1778
142	295	1770
143	296	1763
144	297	1756
145	298	1747
146	299	1738
147	300	1729
148	301	1720
149	302	1711
150	303	1708
151	304	1700
152	305	1691
153	306	1682
154	307	1674
155	307	1666
156	308	1658
157	309	1651
158	311	1647
159	312	1639
160	312	1630
161	313	1622
162	314	1613
163	315	1605
164	315	1597
165	316	1589
166	317	1582
167	318	1575
168	319	1568
169	319	1562
170	320	1555
171	321	1548
172	322	1541
173	323	1535
174	324	1528
175	325	1523
176	326	1516
177	327	1510
178	327	1503
179	328	1497
180	329	1490
181	330	1483
182	330	1477
183	331	1470
184	332	1465
185	333	1459
186	334	1453
187	335	1447
188	335	1441
189	336	1435
190	337	1429
191	338	1423
192	340	1421
193	341	1419
194	342	1414
195	343	1410
196	344	1404
197	347	1408
198	348	1403
199	349	1398
200	350	1393
201	351	1387
202	352	1382
203	354	1384
204	356	1382
205	357	1377
206	358	1372
207	359	1366
208	359	1361
209	360	1356
210	361	1351
211	362	1347
212	363	1342
213	364	1338
214	365	1333
215	366	1329
216	368	1329
217	370	1327
218	370	1322
219	371	1317
220	372	1313
221	373	1308
222	374	1303
223	375	1299
224	375	1295
225	377	1294
226	379	1290
227	379	1286
228	380	1282
229	381	1278
230	382	1273
231	383	1269
232	385	1267
233	386	1265
234	387	1261
235	388	1256
236	388	1251
237	389	1247
238	390	1242
239	390	1237
240	391	1233
241	392	1229
242	393	1225
243	394	1221
244	394	1217
245	395	1213
246	396	1209
247	397	1205
248	398	1200
249	399	1197
250	400	1194
251	401	1190
252	401	1186
253	402	1182
254	403	1178
255	403	1173
256	404	1169
257	405	1166
258	407	1166
259	408	1162
260	409	1158
261	410	1155
262	410	1151
263	411	1147
264	412	1144
265	413	1140
266	414	1137
267	415	1134
268	416	1130
269	416	1127
270	417	1123
271	418	1120
272	419	1116
273	420	1113
274	420	1109
275	421	1106
276	422	1103
277	423	1100
278	424	1096
279	425	1093
280	425	1089
281	426	1086
282	427	1083
283	428	1079
284	429	1077
285	430	1075
286	431	1072
287	432	1068
288	433	1065
289	433	1061
290	434	1059
291	435	1055
292	436	1052
293	437	1050
294	438	1047
295	439	1044
296	440	1041
297	441	1039
298	441	1035
299	442	1033
300	443	1030
301	444	1027
302	445	1024
303	446	1021
304	454	1035
305	455	1032
306	456	1029
307	456	1026
308	457	1023
309	458	1021
310	460	1019
311	461	1017
312	462	1014
313	462	1011
314	463	1008
315	464	1005
316	465	1002
317	466	1000
318	467	997
319	468	995
320	469	993
321	470	990
322	471	988
323	472	985
324	473	984
325	475	982
326	476	979
327	476	976
328	477	973
329	478	970
330	479	968
331	479	965
332	481	963
333	482	961
334	482	958
335	483	956
336	484	953
337	485	951
338	486	948
339	487	945
340	488	943
341	489	940
342	490	938
343	491	936
344	492	934
345	492	931
346	493	928
347	494	926
348	495	924
349	496	921
350	497	920
351	498	917
352	499	915
353	500	912
354	501	911
355	504	911
356	505	910
357	506	907
358	506	905
359	507	902
360	508	899
361	509	897
362	510	895
363	511	892
364	511	890
365	512	888
366	513	886
367	514	883
368	516	883
369	517	881
370	518	879
371	519	877
372	520	875
373	521	872
374	522	870
375	523	868
376	523	865
377	525	864
378	525	861
379	528	861
380	529	860
381	530	858
382	531	855
383	531	853
384	533	851
385	533	849
386	534	846
387	535	844
388	536	842
389	536	839
390	537	837
391	538	835
392	539	832
393	540	831
394	541	829
395	542	826
396	542	824
397	543	822
398	544	820
399	545	818
400	546	816
401	547	814
402	549	813
403	550	811
404	550	809
405	551	806
406	552	804
407	552	802
408	553	799
409	554	798
410	555	796
411	556	794
412	557	792
413	558	790
414	559	788
415	560	786
416	561	785
417	562	783
418	563	781
419	564	779
420	565	777
421	566	775
422	566	773
423	567	771
424	568	769
425	569	767
426	570	765
427	571	763
428	572	762
429	573	760
430	574	758
431	575	756
432	576	754
433	577	753
434	578	751
435	579	749
436	580	747
437	581	746
438	582	744
439	583	742
440	584	740
441	585	739
442	586	737
443	587	735
444	588	733
445	589	731
446	590	729
447	591	728
448	592	726
449	593	725
450	594	723
451	595	721
452	596	719
453	596	717
454	597	716
455	599	714
456	599	712
457	600	711
458	601	709
459	602	707
460	603	705
461	604	704
462	605	702
463	606	700
464	607	698
465	608	697
466	609	695
467	610	693
468	611	691
469	611	690
470	614	690
471	615	688
472	616	686
473	617	685
474	618	683
475	618	681
476	619	679
477	620	678
478	621	676
479	623	675
480	625	674
481	626	672
482	627	671
483	628	670
484	629	668
485	630	666
486	644	678
487	648	680
488	650	679
489	651	678
490	665	689
491	666	688
492	669	688
493	671	687
494	672	685
495	673	684
496	674	682
497	676	682
498	678	681
499	680	680
500	681	678
501	683	678
502	685	676
503	686	675
504	687	674
505	688	672
506	690	671
507	692	670
508	693	668
509	694	667
510	695	665
511	697	664
512	698	663
513	701	662
514	703	662
515	704	660
516	706	660
517	708	658
518	709	657
519	711	656
520	712	655
521	714	654
522	715	652
523	716	651
524	718	650
525	719	648
526	720	647
